"General", "Allgemein"
"SystemConfigDiff", "SystemConfigDiff"
"Systemsettings", "Systemeinstellungen"
"System URL", "System URL"
"API user", "API user"
"API password", "API password"
"Displaysettings", "Anzeigeeinstellungen"
"Alias for this system", "Alias für dieses System"
"Alias for other system", "Alias für anderes System"
"Show diff in system config", "Zeige Diff in Systemkonfiguration"
"Ignore paths", "Zu ignorierende Pfade"
"CMS Blocks", "CMS Blocks"
"blocks", "blocks"
"Block identifier", "Block Identifier"
"Store name", "Store Name"
"Config (config.xml and more)", "Config (config.xml und mehr)"
"config", "config"
"Scope name", "Scope Name"
"Config path", "Config Pfad"
"CMS Pages", "CMS Seiten"
"pages", "pages"
"Page identifier", "Seiten Identifier"
"System Config (system.xml)", "System Config (system.xml)"
"system config", "system config"
"System diff", "System Diff"
"New diff", "Neuer Diff"
"Replace config", "Config ersetzen"
"WS-I compliance", "WS-I kompatibel"
"Enable cron job", "Cron job aktivieren"
"Cronjob for diff update", "Cron job für Diff Update"
"Use crontab format (e.g. 10 1 * * * for 1:10 am)", "Crontab Format (z.B: 10 1 * * * für 01:10 Uhr)"
"The API url of the other system", "Die API URL des anderen Systems"
